payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
21/08/2025,60606,60606-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,407.69,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyP4eLrnBTnlT7b0Z7QQLgI,,2,,CPMT: 60606-POA,CPMT: 60606-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,86586,86586-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,205.61,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyP7GLrnBTnlT7b0t6KKYRi,,2,,CPMT: 86586-POA,CPMT: 86586-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,82725,82725-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,444.35,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPE7LrnBTnlT7b0eifpvzV,,2,,CPMT: 82725-POA,CPMT: 82725-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,37818,37818-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,475.91,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPH3LrnBTnlT7b0Ush53iY,,2,,CPMT: 37818-POA,CPMT: 37818-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,60965,60965-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,1392.42,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPJyLrnBTnlT7b1J0l17bZ,,2,,CPMT: 60965-POA,CPMT: 60965-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,54797,54797-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,324.2,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPLNLrnBTnlT7b0GB2RSMH,,2,,CPMT: 54797-POA,CPMT: 54797-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,87337,87337-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,1114.71,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPOzLrnBTnlT7b0FNy3kvE,,2,,CPMT: 87337-POA,CPMT: 87337-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,51135,51135-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,351,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPTdLrnBTnlT7b1n3dd9kW,,2,,CPMT: 51135-POA,CPMT: 51135-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,51134,51134-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,339.22,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPWELrnBTnlT7b17wKePno,,2,,CPMT: 51134-POA,CPMT: 51134-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,22916,22916-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,343.06,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPdELrnBTnlT7b1BfulQs5,,2,,CPMT: 22916-POA,CPMT: 22916-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
21/08/2025,79084,79084-POA,Ndevor Systems Ltd : Phorest Australia,11010 Accounts Receivable : Trade Debtors,AUD,1,465.3,10130 Bank : CB current a/c AU$ # 411110236694,Australia,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyPjDLrnBTnlT7b180McHR3,,2,,CPMT: 79084-POA,CPMT: 79084-POA-21/08/2025,Direct Credit 158824 STRIPE STRIPE- 3XgaK0RgkuY
