payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
19/08/2025,38252,38252-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,287.16,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RxpjDGNUfzD46Hm1qy5bc12,,2,,CPMT: 38252-POA,CPMT: 38252-POA-19/08/2025,MISC PAYMENT STRIPE
21/08/2025,61730,61730-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,254.67,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RydEkGNUfzD46Hm1DInSRFh,,2,,CPMT: 61730-POA,CPMT: 61730-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,44333,44333-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,390.88,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RydHlGNUfzD46Hm07UH1tyd,,2,,CPMT: 44333-POA,CPMT: 44333-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,50367,50367-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,252.49,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3Rye0WGNUfzD46Hm0JXcE9ON,,2,,CPMT: 50367-POA,CPMT: 50367-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,18777,18777-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,383.04,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3Ryf0eGNUfzD46Hm0zc8RfYg,,2,,CPMT: 18777-POA,CPMT: 18777-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,46168,46168-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,311.36,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3Ryg0UGNUfzD46Hm1f78t9z9,,2,,CPMT: 46168-POA,CPMT: 46168-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,38243,38243-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,460.32,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3Ryg1lGNUfzD46Hm1kHe6nTo,,2,,CPMT: 38243-POA,CPMT: 38243-POA-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,44241,44241-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,386.46,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RygZeGNUfzD46Hm0h8wg0UG,,2,,CPMT: 44241-POA,CPMT: 44241-POA-21/08/2025,MISC PAYMENT STRIPE
22/08/2025,46476,46476-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,347.2,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyjZvGNUfzD46Hm0hiNrDcT,,2,,CPMT: 46476-POA,CPMT: 46476-POA-22/08/2025,MISC PAYMENT STRIPE
22/08/2025,72154,72154-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,392.23,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3Rz0euGNUfzD46Hm0mWbGFQj,,2,,CPMT: 72154-POA,CPMT: 72154-POA-22/08/2025,MISC PAYMENT STRIPE
23/08/2025,36669,36669-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,382.95,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RzO8tGNUfzD46Hm0kOH4oic,,2,,CPMT: 36669-POA,CPMT: 36669-POA-23/08/2025,MISC PAYMENT STRIPE
25/08/2025,81596,81596-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,258.77,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S09syGNUfzD46Hm1qqkKwTJ,,2,,CPMT: 81596-POA,CPMT: 81596-POA-25/08/2025,MISC PAYMENT STRIPE
27/08/2025,51867,51867-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,144.54,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S0oNSGNUfzD46Hm1wYuBn29,,2,,CPMT: 51867-POA,CPMT: 51867-POA-27/08/2025,MISC PAYMENT STRIPE
12/09/2025,42528,42528-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,359.1,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S6eXRGNUfzD46Hm0fUMyDmF,,2,,CPMT: 42528-POA,CPMT: 42528-POA-12/09/2025,MISC PAYMENT STRIPE
15/09/2025,42870,42870-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,1.37,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epVGNUfzD46Hm1e1uFY47,,2,,CPMT: 42870-POA,CPMT: 42870-POA-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,42979,42979-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,2.38,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epXGNUfzD46Hm1MTwxD6d,,2,,CPMT: 42979-POA,CPMT: 42979-POA-15/09/2025,MISC PAYMENT STRIPE
16/09/2025,47495,47495-POA,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,700.6,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S86cCGNUfzD46Hm0ZpBK5Zm,,2,,CPMT: 47495-POA,CPMT: 47495-POA-16/09/2025,MISC PAYMENT STRIPE
