payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
20/08/2025,57359,57359-DDI00033,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,559.35,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyEpmGNUfzD46Hm1xtLG6Sb,,2,,CPMT: 57359-DDI00033,CPMT: 57359-DDI00033-20/08/2025,MISC PAYMENT STRIPE
20/08/2025,32864,32864-DDI00101,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,664.19,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyHjfGNUfzD46Hm1JcdhZEc,,2,,CPMT: 32864-DDI00101,CPMT: 32864-DDI00101-20/08/2025,MISC PAYMENT STRIPE
21/08/2025,93762,93762-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,113,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyaCGGNUfzD46Hm0XCuUpyK,,2,,CPMT: 93762-TBN00001,CPMT: 93762-TBN00001-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,93796,93796-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,282.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyeGLGNUfzD46Hm0AFx1O3A,,2,,CPMT: 93796-TBN00001,CPMT: 93796-TBN00001-21/08/2025,MISC PAYMENT STRIPE
21/08/2025,93805,93805-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,262.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyfKFGNUfzD46Hm0a755Sy2,,2,,CPMT: 93805-TBN00001,CPMT: 93805-TBN00001-21/08/2025,MISC PAYMENT STRIPE
27/08/2025,94380,94380-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,282.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S0nRtGNUfzD46Hm1DgmpwYh,,2,,CPMT: 94380-TBN00001,CPMT: 94380-TBN00001-27/08/2025,MISC PAYMENT STRIPE
27/08/2025,94423,94423-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,262.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S0rEdGNUfzD46Hm0UMrWWA7,,2,,CPMT: 94423-TBN00001,CPMT: 94423-TBN00001-27/08/2025,MISC PAYMENT STRIPE
28/08/2025,94552,94552-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,277.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S1B70GNUfzD46Hm0uNWD4d2,,2,,CPMT: 94552-TBN00001,CPMT: 94552-TBN00001-28/08/2025,MISC PAYMENT STRIPE
29/08/2025,94579,94579-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,111,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S1H5hGNUfzD46Hm1GDzPryq,,2,,CPMT: 94579-TBN00001,CPMT: 94579-TBN00001-29/08/2025,MISC PAYMENT STRIPE
29/08/2025,88353,88353-TBN00004,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,494.94,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S1TpvGNUfzD46Hm1XHBbySP,,2,,CPMT: 88353-TBN00004,CPMT: 88353-TBN00004-29/08/2025,MISC PAYMENT STRIPE
30/08/2025,94720,94720-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,262.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S1sVIGNUfzD46Hm1S9zzQvT,,2,,CPMT: 94720-TBN00001,CPMT: 94720-TBN00001-30/08/2025,MISC PAYMENT STRIPE
04/09/2025,51082,51082-DDI00051,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,390.88,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S3cs4GNUfzD46Hm1pGcrumW,,2,,CPMT: 51082-DDI00051,CPMT: 51082-DDI00051-04/09/2025,MISC PAYMENT STRIPE
04/09/2025,95803,95803-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,282.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S3edRGNUfzD46Hm1Fqo6inS,,2,,CPMT: 95803-TBN00001,CPMT: 95803-TBN00001-04/09/2025,MISC PAYMENT STRIPE
04/09/2025,77738,77738-DDI00010,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,263.29,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S3fjcGNUfzD46Hm1Fk2brYw,,2,,CPMT: 77738-DDI00010,CPMT: 77738-DDI00010-04/09/2025,MISC PAYMENT STRIPE
08/09/2025,40740,40740-DDI00044,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,186.16,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S56RGGNUfzD46Hm1IeTbM00,,2,,CPMT: 40740-DDI00044,CPMT: 40740-DDI00044-08/09/2025,MISC PAYMENT STRIPE
08/09/2025,59574,59574-DDI00032,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,312.48,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S56S1GNUfzD46Hm1n4Zzkwd,,2,,CPMT: 59574-DDI00032,CPMT: 59574-DDI00032-08/09/2025,MISC PAYMENT STRIPE
08/09/2025,40744,40744-DDI00055,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,199.36,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S56UfGNUfzD46Hm0gYpaEeL,,2,,CPMT: 40744-DDI00055,CPMT: 40744-DDI00055-08/09/2025,MISC PAYMENT STRIPE
10/09/2025,97137,97137-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,282.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S5r7VGNUfzD46Hm1WGyzNdt,,2,,CPMT: 97137-TBN00001,CPMT: 97137-TBN00001-10/09/2025,MISC PAYMENT STRIPE
10/09/2025,49885,49885-TBN00058,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,12.63,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S5s2UGNUfzD46Hm0GbqntDb,,2,,CPMT: 49885-TBN00058,CPMT: 49885-TBN00058-10/09/2025,MISC PAYMENT STRIPE
10/09/2025,97148,97148-TBN00002,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,282.5,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S5sIKGNUfzD46Hm1cMdr3fB,,2,,CPMT: 97148-TBN00002,CPMT: 97148-TBN00002-10/09/2025,MISC PAYMENT STRIPE
12/09/2025,97568,97568-TBN00001,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,287.44,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S6Zk7GNUfzD46Hm0st2tBOc,,2,,CPMT: 97568-TBN00001,CPMT: 97568-TBN00001-12/09/2025,MISC PAYMENT STRIPE
14/09/2025,49885,49885-TBN00060,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,330.4,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7JI7GNUfzD46Hm1hkHSKfC,,2,,CPMT: 49885-TBN00060,CPMT: 49885-TBN00060-14/09/2025,MISC PAYMENT STRIPE
15/09/2025,45184,45184-DDI00077,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,215.18,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7eoyGNUfzD46Hm11pR1Xjv,,2,,CPMT: 45184-DDI00077,CPMT: 45184-DDI00077-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,23069,23069-DDI00094,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,759.24,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7ep3GNUfzD46Hm0287JtMZ,,2,,CPMT: 23069-DDI00094,CPMT: 23069-DDI00094-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,40740,40740-DDI00046,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,190.16,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7ep5GNUfzD46Hm1ECWxLYY,,2,,CPMT: 40740-DDI00046,CPMT: 40740-DDI00046-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,9476,9476-DDI00138,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,146.22,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epaGNUfzD46Hm0YLSiIlp,,2,,CPMT: 9476-DDI00138,CPMT: 9476-DDI00138-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,9828,9828-DDI00170,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,467.25,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epeGNUfzD46Hm1P47r0gD,,2,,CPMT: 9828-DDI00170,CPMT: 9828-DDI00170-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,10168,10168-DDI00124,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,128.82,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7ephGNUfzD46Hm0QtPlzj7,,2,,CPMT: 10168-DDI00124,CPMT: 10168-DDI00124-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,10375,10375-DDI00120,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,171.39,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epmGNUfzD46Hm0LC3ZDGw,,2,,CPMT: 10375-DDI00120,CPMT: 10375-DDI00120-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,10491,10491-DDI00126,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,266.7,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epoGNUfzD46Hm0ya1OTrz,,2,,CPMT: 10491-DDI00126,CPMT: 10491-DDI00126-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,11173,11173-DDI00112,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,131.07,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7epqGNUfzD46Hm1p0HAY6x,,2,,CPMT: 11173-DDI00112,CPMT: 11173-DDI00112-15/09/2025,MISC PAYMENT STRIPE
15/09/2025,11490,11490-DDI00110,Ndevor Systems Ltd : Phorest Canada,11010 Accounts Receivable : Trade Debtors,CAD,1,224.85,10150 Bank : CIBC Current Account 9066314,Canada,CARDSUCCESS,MATCHED - Stripe ID: ch_3S7eptGNUfzD46Hm1ziIPVSP,,2,,CPMT: 11490-DDI00110,CPMT: 11490-DDI00110-15/09/2025,MISC PAYMENT STRIPE
