OAK ID,Region,Amount (Instalment)
62493,IRELAND,44.33
31235,IRELAND,193.78
2058,IRELAND,168.92
9187,IRELAND,96.89
56267,IRELAND,48.52
43083,IRELAND,44.33
39604,IRELAND,48.48
14372,DACH,84.46
37921,UK,71.07
8214,IRELAND,96.89
10902,UK,39.24
73014,IRELAND,48.52
17343,UK,142.13
80801,UK,133.76
51792,UK,39.24
55629,UK,117.71
56424,UK,71.07
21813,UK,106.6
9931,UK,132.38
29321,UK,211.88
12965,UK,35.53
51728,USA,110.67
46325,USA,124.5
56414,USA,"1,739.84"
25394,USA,124.37
41831,USA,-93.28
36365,USA,248.73
37983,USA,84.56
71138,USA,166
46928,USA,87.13
49471,USA,110.67
21693,USA,248.73
38524,USA,"1,167.44"
57483,USA,918.59
22801,USA,147.19
33157,IRELAND,109.06
19744,IRELAND,84.46
43083,IRELAND,44.33
57202,IRELAND,42.23
56268,IRELAND,194.07
40316,DACH,-42.23
14178,FINLAND,84.46
73018,IRELAND,109
48270,IRELAND,142.54
20222,IRELAND,44.33
11119,UK,106.6
10824,IRELAND,109.06
32465,UK,78.44
48270,IRELAND,-142.54
68152,UK,35.53
33170,DACH,168.92
58761,UK,-71.07
46386,UK,142.13
26095,UK,94.23
10331,UK,71.07
9578,UK,267.53
39708,UK,94.23
11693,UK,267.53
10015,UK,71.07
8959,UK,35.53
60730,UK,80
9012,UK,117.71
49341,UK,78.44
46921,UK,133.76
9944,UK,71.07
26490,UK,35.53
51113,USA,110.67
33243,UK,71.07
38524,USA,186.55
16824,USA,156.75
40032,USA,336.75
47614,USA,84.56
82071,USA,282.9
23146,USA,62.18
61787,IRELAND,166.05
44887,USA,869.92
30615,FINLAND,-55.35
68301,USA,153.33
5821,IRELAND,54.53
44817,USA,186.55
4306,IRELAND,42.23
58012,USA,869.92
8394,UK,88.25
22893,USA,124.22
46748,UK,142.13
55630,USA,98.13
58761,UK,-106.62
81481,CANADA,368.96
14960,UK,78.44
31235,IRELAND,-145.34
60864,UK,78.44
14934,IRELAND,96.89
49333,UK,106.6
9614,UK,142.13
57754,UK,88.25
10109,UK,133.76
25171,UK,38.22
47816,UK,133.76
19289,UK,71.07
11617,UK,35.53
58785,UK,35.53
9325,UK,71.07
41763,UK,39.22
20292,USA,695.93
34290,UK,35.53
28742,USA,356.43
27418,USA,"2,690.52"
61787,IRELAND,-166.05
23223,USA,"1,739.84"
40316,DACH,84.46
34458,USA,169.13
56268,IRELAND,-97.03
43551,USA,124.5
31644,DACH,54.53
41911,USA,188.6
18421,UK,71.07
7941,IRELAND,166.05
74178,UK,88.25
30615,FINLAND,218.12
12971,UK,35.53
30615,FINLAND,-81.8
58761,UK,71.07
9870,UK,35.53
55629,UK,164.07
36438,UK,300.97
16312,UK,44.03
25258,UK,94.23
58450,UK,35.53
13080,UK,71.07
26978,UK,71.07
10015,UK,-71.07
75291,USA,"1,670.42"
9070,UK,300.97
37732,USA,622.69
74312,UK,128.75
57865,USA,124.37
85093,UK,168.37
36512,USA,"1,383.68"
9560,UK,35.53
7061,IRELAND,199.26
12850,UK,35.53
13202,UK,142.13
11840,USA,424.35
57865,USA,-124.37
57865,USA,373.08
41831,USA,124.37
16179,USA,186.55
12757,USA,110.67
31325,USA,50.63
82071,USA,282.9
23149,USA,166.05
35308,USA,124.37
43982,USA,"1,739.84"
59165,USA,150.22
12351,IRELAND,126.69
