Client_ID,Individual_Installments,Total_Installment,Status,Installment_Count
2058,$168.92,$168.92,NOT FOUND,1
4306,$42.23,$42.23,NOT FOUND,1
5821,$54.53,$54.53,NOT FOUND,1
7061,$199.26,$199.26,NOT FOUND,1
7941,$166.05,$166.05,NOT FOUND,1
8214,$96.89,$96.89,NOT FOUND,1
8394,$88.25,$88.25,NOT FOUND,1
8959,$35.53,$35.53,NOT FOUND,1
9012,$117.71,$117.71,NOT FOUND,1
9070,$300.97,$300.97,NOT FOUND,1
9187,$96.89,$96.89,NOT FOUND,1
9325,$71.07,$71.07,NOT FOUND,1
9560,$35.53,$35.53,NOT FOUND,1
9578,$267.53,$267.53,NOT FOUND,1
9614,$142.13,$142.13,NOT FOUND,1
9870,$35.53,$35.53,NOT FOUND,1
9931,$132.38,$132.38,NOT FOUND,1
9944,$71.07,$71.07,NOT FOUND,1
10015,$71.07; $-71.07,$0.00,NOT FOUND,2
10109,$133.76,$133.76,NOT FOUND,1
10331,$71.07,$71.07,NOT FOUND,1
10824,$109.06,$109.06,NOT FOUND,1
10902,$39.24,$39.24,NOT FOUND,1
11119,$106.60,$106.60,NOT FOUND,1
11617,$35.53,$35.53,NOT FOUND,1
11693,$267.53,$267.53,NOT FOUND,1
11840,$424.35,$424.35,NOT FOUND,1
12351,$126.69,$126.69,NOT FOUND,1
12757,$110.67,$110.67,NOT FOUND,1
12850,$35.53,$35.53,NOT FOUND,1
12965,$35.53,$35.53,NOT FOUND,1
12971,$35.53,$35.53,NOT FOUND,1
13080,$71.07,$71.07,NOT FOUND,1
13202,$142.13,$142.13,NOT FOUND,1
14178,$84.46,$84.46,NOT FOUND,1
14372,$84.46,$84.46,NOT FOUND,1
14934,$96.89,$96.89,NOT FOUND,1
14960,$78.44,$78.44,NOT FOUND,1
16179,$186.55,$186.55,NOT FOUND,1
16312,$44.03,$44.03,NOT FOUND,1
16824,$156.75,$156.75,NOT FOUND,1
17343,$142.13,$142.13,NOT FOUND,1
18421,$71.07,$71.07,NOT FOUND,1
19289,$71.07,$71.07,NOT FOUND,1
19744,$84.46,$84.46,NOT FOUND,1
20222,$44.33,$44.33,NOT FOUND,1
20292,$695.93,$695.93,NOT FOUND,1
21693,$248.73,$248.73,NOT FOUND,1
21813,$106.60,$106.60,NOT FOUND,1
22801,$147.19,$147.19,NOT FOUND,1
22893,$124.22,$124.22,NOT FOUND,1
23146,$62.18,$62.18,NOT FOUND,1
23149,$166.05,$166.05,NOT FOUND,1
23223,$1739.84,$1739.84,NOT FOUND,1
25171,$38.22,$38.22,NOT FOUND,1
25258,$94.23,$94.23,NOT FOUND,1
25394,$124.37,$124.37,NOT FOUND,1
26095,$94.23,$94.23,NOT FOUND,1
26490,$35.53,$35.53,NOT FOUND,1
26978,$71.07,$71.07,NOT FOUND,1
27418,$2690.52,$2690.52,NOT FOUND,1
28742,$356.43,$356.43,NOT FOUND,1
29321,$211.88,$211.88,NOT FOUND,1
30615,$-55.35; $218.12; $-81.80,$80.97,NOT FOUND,3
31235,$193.78; $-145.34,$48.44,NOT FOUND,2
31325,$50.63,$50.63,NOT FOUND,1
31644,$54.53,$54.53,NOT FOUND,1
32465,$78.44,$78.44,NOT FOUND,1
33157,$109.06,$109.06,NOT FOUND,1
33170,$168.92,$168.92,NOT FOUND,1
33243,$71.07,$71.07,NOT FOUND,1
34290,$35.53,$35.53,NOT FOUND,1
34458,$169.13,$169.13,NOT FOUND,1
35308,$124.37,$124.37,NOT FOUND,1
36365,$248.73,$248.73,NOT FOUND,1
36438,$300.97,$300.97,NOT FOUND,1
36512,$1383.68,$1383.68,NOT FOUND,1
37732,$622.69,$622.69,NOT FOUND,1
37921,$71.07,$71.07,NOT FOUND,1
37983,$84.56,$84.56,NOT FOUND,1
38524,$1167.44; $186.55,$1353.99,NOT FOUND,2
39604,$48.48,$48.48,NOT FOUND,1
39708,$94.23,$94.23,NOT FOUND,1
