payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
20/08/2025,73044,73044-DDI00008,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,517,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyBrVKUOwSvugXx18FBfZVA,,2,,CPMT: 73044-DDI00008,CPMT: 73044-DDI00008-20/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
20/08/2025,77281,77281-DDI00012,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,519,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyFZrKUOwSvugXx152KDX4L,,2,,CPMT: 77281-DDI00012,CPMT: 77281-DDI00012-20/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
20/08/2025,59048,59048-TBN00034,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,300,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyH5MKUOwSvugXx0Bxzb28P,,2,,CPMT: 59048-TBN00034,CPMT: 59048-TBN00034-20/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
20/08/2025,93680,93680-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,250,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyIRnKUOwSvugXx0aUBuVIw,,2,,CPMT: 93680-TBN00001,CPMT: 93680-TBN00001-20/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
21/08/2025,87882,87882-TBN00003,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,174,10043 Bank : CIBC operating a/c US$ # 2605090,United States,MANUAL,MATCHED - Stripe ID: ch_3RyabuKUOwSvugXx1ARcuox5,,2,,CPMT: 87882-TBN00003,CPMT: 87882-TBN00003-21/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
21/08/2025,87047,87047-TBN00003,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,174,10043 Bank : CIBC operating a/c US$ # 2605090,United States,MANUAL,MATCHED - Stripe ID: ch_3RyacYKUOwSvugXx05Blrue7,,2,,CPMT: 87047-TBN00003,CPMT: 87047-TBN00003-21/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
21/08/2025,93810,93810-TBN00002,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,271.75,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3Ryg4KKUOwSvugXx1v8xRmbF,,2,,CPMT: 93810-TBN00002,CPMT: 93810-TBN00002-21/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
21/08/2025,93366,93366-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,250,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyiFtKUOwSvugXx1Yk36e6b,,2,,CPMT: 93366-TBN00001,CPMT: 93366-TBN00001-21/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
21/08/2025,93368,93368-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,100,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyiJQKUOwSvugXx1IQkxnHx,,2,,CPMT: 93368-TBN00001,CPMT: 93368-TBN00001-21/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
22/08/2025,93786,93786-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1,250,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,MATCHED - Stripe ID: ch_3RyxpaKUOwSvugXx0w9XYJJX,,2,,CPMT: 93786-TBN00001,CPMT: 93786-TBN00001-22/08/2025,ACH CREDIT STRIPE TRANSFER 250922 ST- F3O7A7H3C1Y2
