payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
14/10/2025,48139,48139-DDI00030,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,212.32,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDAYQ6L4GWO6TD315,2.0,,ch_3SI9RDKUOwSvugXx11uZqyga,CPMT: 48139-DDI00030,CPMT: 48139-DDI00030-14/10/2025,
14/10/2025,48339,48339-DDI00032,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,99.0,10043 Bank : CIBC operating a/c US$ # 2605090,Cayman Islands,CARDSUCCESS,DDCARD PAYMENT:MESDDD61LNK92RS8RMNA3,2.0,,ch_3SI9RFKUOwSvugXx0kbCm1fW,CPMT: 48339-DDI00032,CPMT: 48339-DDI00032-14/10/2025,
14/10/2025,51881,51881-DDI00026,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,219.0,10043 Bank : CIBC operating a/c US$ # 2605090,Mexico,CARDSUCCESS,DDCARD PAYMENT:MESDDD7063CQN5X3D2Z6L,2.0,,ch_3SI9RHKUOwSvugXx0JJ737O6,CPMT: 51881-DDI00026,CPMT: 51881-DDI00026-14/10/2025,
14/10/2025,52355,52355-DDI00025,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,329.0,10043 Bank : CIBC operating a/c US$ # 2605090,Netherlands Antilles,CARDSUCCESS,DDCARD PAYMENT:MESDDDLB16965BVE5B6D3,2.0,,ch_3SI9RIKUOwSvugXx1V7ZY8WU,CPMT: 52355-DDI00025,CPMT: 52355-DDI00025-14/10/2025,
14/10/2025,60200,60200-DDI00015,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,428.0,10043 Bank : CIBC operating a/c US$ # 2605090,Cayman Islands,CARDSUCCESS,DDCARD PAYMENT:MESDDDM72XNDE779PDO72,2.0,,ch_3SI9RLKUOwSvugXx19itVohE,CPMT: 60200-DDI00015,CPMT: 60200-DDI00015-14/10/2025,
14/10/2025,82803,82803-DDI00005,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,229.0,10043 Bank : CIBC operating a/c US$ # 2605090,Puerto Rico,CARDSUCCESS,DDCARD PAYMENT:MESDDDP2Z0D54Y926O0A8,2.0,,ch_3SI9ROKUOwSvugXx0uZ2yWkm,CPMT: 82803-DDI00005,CPMT: 82803-DDI00005-14/10/2025,
14/10/2025,83915,83915-DDI00005,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,229.0,10043 Bank : CIBC operating a/c US$ # 2605090,Puerto Rico,CARDSUCCESS,DDCARD PAYMENT:MESDDD986893EYPY41EJ2,2.0,,ch_3SI9RQKUOwSvugXx0PtC9HeR,CPMT: 83915-DDI00005,CPMT: 83915-DDI00005-14/10/2025,
14/10/2025,44511,44511-DDI00040,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,200.16,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDX27O0EUEJGSX9WF,2.0,,ch_3SI9RAKUOwSvugXx0WY8Ajs3,CPMT: 44511-DDI00040,CPMT: 44511-DDI00040-14/10/2025,
14/10/2025,42696,42696-DDI00045,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,99.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDF2EI2Z503A41C1W,2.0,,ch_3SI9R8KUOwSvugXx0B0mTRUv,CPMT: 42696-DDI00045,CPMT: 42696-DDI00045-14/10/2025,
14/10/2025,37390,37390-DDI00053,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,75.0,10043 Bank : CIBC operating a/c US$ # 2605090,Cayman Islands,CARDSUCCESS,DDCARD PAYMENT:MESDDD50WGNZG8U4W3PY4,2.0,,ch_3SI9R1KUOwSvugXx1MvWJt9V,CPMT: 37390-DDI00053,CPMT: 37390-DDI00053-14/10/2025,
14/10/2025,40953,40953-DDI00046,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,99.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDD2K3493627Z73262,2.0,,ch_3SI9R5KUOwSvugXx1IwEo0JC,CPMT: 40953-DDI00046,CPMT: 40953-DDI00046-14/10/2025,
14/10/2025,11385,11385-DDI00116,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,79.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDEMDLM75ZVO9JQTX,2.0,,ch_3SI9QiKUOwSvugXx0WO489xk,CPMT: 11385-DDI00116,CPMT: 11385-DDI00116-14/10/2025,
14/10/2025,12940,12940-DDI00101,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,178.0,10043 Bank : CIBC operating a/c US$ # 2605090,Cayman Islands,CARDSUCCESS,DDCARD PAYMENT:MESDDDM565T6K21K75G7C,2.0,,ch_3SI9QkKUOwSvugXx0tw1o0ft,CPMT: 12940-DDI00101,CPMT: 12940-DDI00101-14/10/2025,
14/10/2025,21744,21744-DDI00082,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,295.0,10043 Bank : CIBC operating a/c US$ # 2605090,Netherlands Antilles,CARDSUCCESS,DDCARD PAYMENT:MESDDDE8TH46L23130AHM,2.0,,ch_3SI9QnKUOwSvugXx12YAfI0o,CPMT: 21744-DDI00082,CPMT: 21744-DDI00082-14/10/2025,
14/10/2025,23626,23626-DDI00079,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,121.05,10043 Bank : CIBC operating a/c US$ # 2605090,Cayman Islands,CARDSUCCESS,DDCARD PAYMENT:MESDDD0SN5BS5T9U6QL3J,2.0,,ch_3SI9QpKUOwSvugXx1A2H8uhC,CPMT: 23626-DDI00079,CPMT: 23626-DDI00079-14/10/2025,
14/10/2025,25217,25217-DDI00074,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,295.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDSW9T20WS4O57V0T,2.0,,ch_3SI9QrKUOwSvugXx15spotc5,CPMT: 25217-DDI00074,CPMT: 25217-DDI00074-14/10/2025,
14/10/2025,33666,33666-DDI00066,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,394.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDEDLT5JETOP0174T,2.0,,ch_3SI9QvKUOwSvugXx0OZiJJfp,CPMT: 33666-DDI00066,CPMT: 33666-DDI00066-14/10/2025,
14/10/2025,34574,34574-DDI00058,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,322.96,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDD22M84LV5S534TK,2.0,,ch_3SI9QyKUOwSvugXx0dyn5Nym,CPMT: 34574-DDI00058,CPMT: 34574-DDI00058-14/10/2025,
14/10/2025,11124,11124-DDI00115,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,236.0,10043 Bank : CIBC operating a/c US$ # 2605090,Bermuda,CARDSUCCESS,DDCARD PAYMENT:MESDDDBQ04UJV0FA78V1B,2.0,,ch_3SI9QgKUOwSvugXx1EqZYNVm,CPMT: 11124-DDI00115,CPMT: 11124-DDI00115-14/10/2025,
22/09/2025,29098,29098-DDI00068,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,198.0,10043 Bank : CIBC operating a/c US$ # 2605090,Guatemala,CARDSUCCESS,CARD PAYMENT,,2.0,nan,CPMT: 29098-DDI00068,CPMT: 29098-DDI00068-22/09/2025,
22/09/2025,43900,43900-DDI00040,Ndevor Systems Ltd : Phorest Ireland,11010 Accounts Receivable : Trade Debtors,USD,1.0,204.65,10043 Bank : CIBC operating a/c US$ # 2605090,Guatemala,CARDSUCCESS,CARD PAYMENT,,2.0,nan,CPMT: 43900-DDI00040,CPMT: 43900-DDI00040-22/09/2025,
