payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
01/10/2025,99541,99541-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,100.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDErDKUOwSvugXx01Xr3BWd,CPMT: 99541-TBN00001,CPMT: 99541-TBN00001-01/10/2025,
01/10/2025,99855,99855-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,100.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDXcXKUOwSvugXx1ewtbAGs,CPMT: 99855-TBN00001,CPMT: 99855-TBN00001-01/10/2025,
01/10/2025,99613,99613-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1242.96,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDUm9KUOwSvugXx0V0T0IgB,CPMT: 99613-TBN00001,CPMT: 99613-TBN00001-01/10/2025,
01/10/2025,99617,99617-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1242.96,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDVSBKUOwSvugXx1PjQEpxh,CPMT: 99617-TBN00001,CPMT: 99617-TBN00001-01/10/2025,
01/10/2025,99615,99615-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1242.96,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDVHaKUOwSvugXx0omU0FGY,CPMT: 99615-TBN00001,CPMT: 99615-TBN00001-01/10/2025,
02/10/2025,33090,33090-TBN00066,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,175.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : PhorestPay Terminal Order,2.0,,ch_3SDmLrKUOwSvugXx1N0HBu82,CPMT: 33090-TBN00066,CPMT: 33090-TBN00066-02/10/2025,
02/10/2025,48480,48480-TBN00059,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,295.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SDtbVKUOwSvugXx1YrR5QgK,CPMT: 48480-TBN00059,CPMT: 48480-TBN00059-02/10/2025,
02/10/2025,80764,80764-DDI00008,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,448.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDs46KUOwSvugXx02DgEjS5,CPMT: 80764-DDI00008,CPMT: 80764-DDI00008-02/10/2025,
02/10/2025,99964,99964-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDp09KUOwSvugXx085hsfyl,CPMT: 99964-TBN00001,CPMT: 99964-TBN00001-02/10/2025,
02/10/2025,27512,27512-TBN00095,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,350.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : PhorestPay Terminal Order,2.0,,ch_3SDlvcKUOwSvugXx0N5SQlbS,CPMT: 27512-TBN00095,CPMT: 27512-TBN00095-02/10/2025,
02/10/2025,99533,99533-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDo30KUOwSvugXx0BF7QaoU,CPMT: 99533-TBN00001,CPMT: 99533-TBN00001-02/10/2025,
02/10/2025,35270,35270-DDI00088,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,461.16,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SDnLTKUOwSvugXx0LbgWBcH,CPMT: 35270-DDI00088,CPMT: 35270-DDI00088-02/10/2025,
03/10/2025,100156,100156-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,266.5,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SEFfuKUOwSvugXx1zB7mucY,CPMT: 100156-TBN00001,CPMT: 100156-TBN00001-03/10/2025,
03/10/2025,24972,24972-DDI00099,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,441.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SE1PrKUOwSvugXx0ZZOhuUL,CPMT: 24972-DDI00099,CPMT: 24972-DDI00099-03/10/2025,
03/10/2025,99320,99320-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,265.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SDxj4KUOwSvugXx11gvScnN,CPMT: 99320-TBN00001,CPMT: 99320-TBN00001-03/10/2025,
06/10/2025,100327,100327-TBN00002,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFJ7FKUOwSvugXx0zhMX2Ma,CPMT: 100327-TBN00002,CPMT: 100327-TBN00002-06/10/2025,
06/10/2025,76629,76629-TBN00016,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,350.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : PhorestPay Terminal Order,2.0,,ch_3SFGfIKUOwSvugXx0OCPGBYc,CPMT: 76629-TBN00016,CPMT: 76629-TBN00016-06/10/2025,
06/10/2025,100257,100257-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SF3IUKUOwSvugXx0Ih3Yuho,CPMT: 100257-TBN00001,CPMT: 100257-TBN00001-06/10/2025,
07/10/2025,100396,100396-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,265.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFZoXKUOwSvugXx1jfLw5rK,CPMT: 100396-TBN00001,CPMT: 100396-TBN00001-07/10/2025,
07/10/2025,100103,100103-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFbCaKUOwSvugXx1UNzsDzS,CPMT: 100103-TBN00001,CPMT: 100103-TBN00001-07/10/2025,
07/10/2025,100509,100509-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,265.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFfxbKUOwSvugXx0kX2DzOH,CPMT: 100509-TBN00001,CPMT: 100509-TBN00001-07/10/2025,
07/10/2025,100508,100508-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFfq7KUOwSvugXx1iqRe4eA,CPMT: 100508-TBN00001,CPMT: 100508-TBN00001-07/10/2025,
07/10/2025,100002,100002-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,265.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFfgGKUOwSvugXx00Z8v0E9,CPMT: 100002-TBN00001,CPMT: 100002-TBN00001-07/10/2025,
07/10/2025,28510,28510-DDI00094,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,672.08,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFdSUKUOwSvugXx0uuKZL7y,CPMT: 28510-DDI00094,CPMT: 28510-DDI00094-07/10/2025,
07/10/2025,49841,49841-DDI00028,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,519.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFdDRKUOwSvugXx1epLfdzE,CPMT: 49841-DDI00028,CPMT: 49841-DDI00028-07/10/2025,
07/10/2025,39453,39453-DDI00072,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,441.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SFcamKUOwSvugXx0RntwJKT,CPMT: 39453-DDI00072,CPMT: 39453-DDI00072-07/10/2025,
07/10/2025,83813,83813-DDI00007,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,519.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,MANUAL,CASHBOOK,2.0,,ch_3SFbbGKUOwSvugXx106FWTIX,CPMT: 83813-DDI00007,CPMT: 83813-DDI00007-07/10/2025,
07/10/2025,60076,60076-TBN00035,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1500.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SFbQtKUOwSvugXx1h2VnhNf,CPMT: 60076-TBN00035,CPMT: 60076-TBN00035-07/10/2025,
07/10/2025,100328,100328-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFalGKUOwSvugXx0Yrvd0SU,CPMT: 100328-TBN00001,CPMT: 100328-TBN00001-07/10/2025,
08/10/2025,98682,98682-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,100.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFx9NKUOwSvugXx1zwGHxVm,CPMT: 98682-TBN00001,CPMT: 98682-TBN00001-08/10/2025,
09/10/2025,100796,100796-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGTeuKUOwSvugXx0LV6PUW1,CPMT: 100796-TBN00001,CPMT: 100796-TBN00001-09/10/2025,
09/10/2025,54772,54772-DDI00041,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,401.74,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGLn3KUOwSvugXx00l6gN3w,CPMT: 54772-DDI00041,CPMT: 54772-DDI00041-09/10/2025,
09/10/2025,100758,100758-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGN8QKUOwSvugXx1O5aYSjB,CPMT: 100758-TBN00001,CPMT: 100758-TBN00001-09/10/2025,
09/10/2025,99101,99101-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,272.5,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGPdVKUOwSvugXx15cgaxOu,CPMT: 99101-TBN00001,CPMT: 99101-TBN00001-09/10/2025,
09/10/2025,46895,46895-TBN00072,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,175.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : PhorestPay Terminal Order,2.0,,ch_3SG7JrKUOwSvugXx0kHldxJ6,CPMT: 46895-TBN00072,CPMT: 46895-TBN00072-09/10/2025,
09/10/2025,54773,54773-DDI00041,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,401.74,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGNpSKUOwSvugXx1eVUK7KL,CPMT: 54773-DDI00041,CPMT: 54773-DDI00041-09/10/2025,
10/10/2025,100865,100865-TBN00002,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,100.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGhEkKUOwSvugXx0tz8dBEq,CPMT: 100865-TBN00002,CPMT: 100865-TBN00002-10/10/2025,
10/10/2025,100873,100873-TBN00003,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,106.6,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGiC5KUOwSvugXx0fJiBWL6,CPMT: 100873-TBN00003,CPMT: 100873-TBN00003-10/10/2025,
10/10/2025,100872,100872-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,266.5,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGiAGKUOwSvugXx0dLWAhzs,CPMT: 100872-TBN00001,CPMT: 100872-TBN00001-10/10/2025,
11/10/2025,32976,32976-DDI00063,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,245.7,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SGqk8KUOwSvugXx1qvQ5bXH,CPMT: 32976-DDI00063,CPMT: 32976-DDI00063-11/10/2025,
11/10/2025,100682,100682-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGr4kKUOwSvugXx0a1Ndwct,CPMT: 100682-TBN00001,CPMT: 100682-TBN00001-11/10/2025,
12/10/2025,100869,100869-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SGmgsKUOwSvugXx13kYpW8p,CPMT: 100869-TBN00001,CPMT: 100869-TBN00001-12/10/2025,
13/10/2025,100025,100025-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SFxC9KUOwSvugXx0nszOvqk,CPMT: 100025-TBN00001,CPMT: 100025-TBN00001-13/10/2025,
13/10/2025,100013,100013-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SHlZ2KUOwSvugXx1v1xVEbh,CPMT: 100013-TBN00001,CPMT: 100013-TBN00001-13/10/2025,
13/10/2025,101041,101041-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SHoewKUOwSvugXx1nPqKysL,CPMT: 101041-TBN00001,CPMT: 101041-TBN00001-13/10/2025,
13/10/2025,101047,101047-TBN00001,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,250.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : paysignupbycard,2.0,,ch_3SHq0bKUOwSvugXx02qbNQJX,CPMT: 101047-TBN00001,CPMT: 101047-TBN00001-13/10/2025,
14/10/2025,56618,56618-DDI00046,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,318.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDP2VMOY89C1HQPUX,2.0,,ch_3SI8vtKUOwSvugXx0AMCy8pX,CPMT: 56618-DDI00046,CPMT: 56618-DDI00046-14/10/2025,
14/10/2025,56003,56003-DDI00045,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,348.74,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDDE4671CL98U6O5X,2.0,,ch_3SI8uGKUOwSvugXx0B6eTZxi,CPMT: 56003-DDI00045,CPMT: 56003-DDI00045-14/10/2025,
14/10/2025,56004,56004-DDI00048,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,318.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDC12ABBU6V41F626,2.0,,ch_3SI8uJKUOwSvugXx10m6wgvG,CPMT: 56004-DDI00048,CPMT: 56004-DDI00048-14/10/2025,
14/10/2025,56008,56008-DDI00024,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,204.22,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDUD93I5N7OKQ4M53,2.0,,ch_3SI8uLKUOwSvugXx1vHSJ2Fi,CPMT: 56008-DDI00024,CPMT: 56008-DDI00024-14/10/2025,
