payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo
01/10/2025,58293,58293-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,272.9,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,2.0,,ch_3SDWeAKUOwSvugXx0nzc2nut,CPMT: 58293-POA,CPMT: 58293-POA-01/10/2025,
07/10/2025,28510,28510-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1344.16,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Outstanding Balance Payment,2.0,,ch_3SFdTwKUOwSvugXx0zvcFo8f,CPMT: 28510-POA,CPMT: 28510-POA-07/10/2025,
14/10/2025,29947,29947-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,684.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SI90bKUOwSvugXx0USaDLeH,CPMT: 29947-POA,CPMT: 29947-POA-14/10/2025,
14/10/2025,32496,32496-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,466.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SI9VvKUOwSvugXx1sIq5W9h,CPMT: 32496-POA,CPMT: 32496-POA-14/10/2025,
14/10/2025,66323,66323-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,349.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SI9mNKUOwSvugXx1Zym7BFM,CPMT: 66323-POA,CPMT: 66323-POA-14/10/2025,
14/10/2025,42263,42263-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,684.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SI9lkKUOwSvugXx09gXzaoV,CPMT: 42263-POA,CPMT: 42263-POA-14/10/2025,
14/10/2025,49033,49033-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,295.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD4345VB03220P086,2.0,,ch_3SI7w1KUOwSvugXx10mYOrhp,CPMT: 49033-POA,CPMT: 49033-POA-14/10/2025,
15/10/2025,34507,34507-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1485.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT : Arrears,2.0,,ch_3SINMzKUOwSvugXx0CM1Xv7A,CPMT: 34507-POA,CPMT: 34507-POA-15/10/2025,
16/10/2025,15430,15430-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,307.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SItTWKUOwSvugXx0UnF1NMF,CPMT: 15430-POA,CPMT: 15430-POA-16/10/2025,
16/10/2025,54279,54279-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,1090.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SIuY8KUOwSvugXx0s86pzfT,CPMT: 54279-POA,CPMT: 54279-POA-16/10/2025,
16/10/2025,54415,54415-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,701.42,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SIuotKUOwSvugXx0uUStacn,CPMT: 54415-POA,CPMT: 54415-POA-16/10/2025,
16/10/2025,33541,33541-POA,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,441.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,CARD PAYMENT,2.0,,ch_3SIyDqKUOwSvugXx1vR3sVYh,CPMT: 33541-POA,CPMT: 33541-POA-16/10/2025,
