payment_date,client_id,invoice_number,billing_entity,ar_account,currency,exchange_rate,amount,account,Location,transtype,comment,Card Reference,reasoncode,sepaprovider,invoice #,payment #,Memo,journal_type,memo
14/10/2025,51728,51728-DDI00055,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,110.67,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD4LV6516Y67XL8C9,2.0,,ch_3SI7utKUOwSvugXx0bYw2i9s,CPMT: 51728-DDI00055,CPMT: 51728-DDI00055-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 51728
14/10/2025,46325,46325-DDI00074,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,124.5,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD3K63Z61D80596JO,2.0,,ch_3SI7uhKUOwSvugXx1zX7GYFw,CPMT: 46325-DDI00074,CPMT: 46325-DDI00074-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 46325
14/10/2025,25394,25394-DDI00105,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,124.37,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDA8W0XRN2H9G7639,2.0,,ch_3SI7u1KUOwSvugXx1UtMQfeH,CPMT: 25394-DDI00105,CPMT: 25394-DDI00105-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 25394
14/10/2025,41831,41831-DDI00050,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,31.090000000000003,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD4A576062XU35C88,2.0,,ch_3SI7uVKUOwSvugXx1bEPUM8I,CPMT: 41831-DDI00050,CPMT: 41831-DDI00050-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 41831
14/10/2025,36365,36365-DDI00088,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,248.73,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDCOVAYE113K4CM4N,2.0,,ch_3SI7uFKUOwSvugXx0rIqcty1,CPMT: 36365-DDI00088,CPMT: 36365-DDI00088-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 36365
14/10/2025,37983,37983-DDI00085,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,84.56,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDGL71IBWS09V1VZX,2.0,,ch_3SI7uOKUOwSvugXx0zbdqwIO,CPMT: 37983-DDI00085,CPMT: 37983-DDI00085-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 37983
14/10/2025,71138,71138-DDI00025,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,166.0,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD0W0ZVKU0L5Q154M,2.0,,ch_3SI7vEKUOwSvugXx1WRVD3NA,CPMT: 71138-DDI00025,CPMT: 71138-DDI00025-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 71138
14/10/2025,46928,46928-DDI00070,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,87.13,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDD32L2A7Y31T60FGZ,2.0,,ch_3SI7ukKUOwSvugXx0997mX86,CPMT: 46928-DDI00070,CPMT: 46928-DDI00070-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 46928
14/10/2025,49471,49471-DDI00063,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,110.67,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDMWTZEHS483NF6C7,2.0,,ch_3SI7uoKUOwSvugXx0uiJ6t7z,CPMT: 49471-DDI00063,CPMT: 49471-DDI00063-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 49471
14/10/2025,21693,21693-DDI00121,Ndevor Systems Ltd : Phorest US,11010 Accounts Receivable : Trade Debtors,USD,1.0,248.73,10043 Bank : CIBC operating a/c US$ # 2605090,United States,CARDSUCCESS,DDCARD PAYMENT:MESDDDOMN69R6S2QEJ1UI,2.0,,ch_3SI7tiKUOwSvugXx0v54oP0I,CPMT: 21693-DDI00121,CPMT: 21693-DDI00121-14/10/2025,,Salon_Summit_Installments,Salon Summit Installment - Client 21693
