Client ID,Total Received,Installment Amount,Remaining Amount,Status
62493,0,44.33,0,unmatched
31235,0,48.44,0,unmatched
2058,0,168.92,0,unmatched
9187,0,96.89,0,unmatched
56267,0,48.52,0,unmatched
43083,0,88.66,0,unmatched
39604,0,48.48,0,unmatched
14372,0,84.46,0,unmatched
37921,0,71.07,0,unmatched
8214,0,96.89,0,unmatched
10902,0,39.24,0,unmatched
73014,0,48.52,0,unmatched
17343,0,142.13,0,unmatched
80801,0,133.76,0,unmatched
51792,0,39.24,0,unmatched
55629,0,281.78,0,unmatched
56424,0,71.07,0,unmatched
21813,0,106.6,0,unmatched
9931,0,132.38,0,unmatched
29321,0,211.88,0,unmatched
12965,0,35.53,0,unmatched
33157,0,109.06,0,unmatched
19744,0,84.46,0,unmatched
57202,0,42.23,0,unmatched
56268,0,97.04,0,unmatched
40316,0,42.23,0,unmatched
14178,0,84.46,0,unmatched
73018,0,109.0,0,unmatched
20222,0,44.33,0,unmatched
11119,0,106.6,0,unmatched
10824,0,109.06,0,unmatched
32465,0,78.44,0,unmatched
68152,0,35.53,0,unmatched
33170,0,168.92,0,unmatched
46386,0,142.13,0,unmatched
26095,0,94.23,0,unmatched
10331,0,71.07,0,unmatched
9578,0,267.53,0,unmatched
39708,0,94.23,0,unmatched
11693,0,267.53,0,unmatched
8959,0,35.53,0,unmatched
60730,0,80.0,0,unmatched
9012,0,117.71,0,unmatched
49341,0,78.44,0,unmatched
46921,0,133.76,0,unmatched
9944,0,71.07,0,unmatched
26490,0,35.53,0,unmatched
33243,0,71.07,0,unmatched
30615,0,80.97,0,unmatched
5821,0,54.53,0,unmatched
4306,0,42.23,0,unmatched
8394,0,88.25,0,unmatched
46748,0,142.13,0,unmatched
81481,0,368.96,0,unmatched
14960,0,78.44,0,unmatched
60864,0,78.44,0,unmatched
14934,0,96.89,0,unmatched
49333,0,106.6,0,unmatched
9614,0,142.13,0,unmatched
57754,0,88.25,0,unmatched
10109,0,133.76,0,unmatched
25171,0,38.22,0,unmatched
47816,0,133.76,0,unmatched
19289,0,71.07,0,unmatched
11617,0,35.53,0,unmatched
58785,0,35.53,0,unmatched
9325,0,71.07,0,unmatched
41763,0,39.22,0,unmatched
34290,0,35.53,0,unmatched
31644,0,54.53,0,unmatched
18421,0,71.07,0,unmatched
7941,0,166.05,0,unmatched
74178,0,88.25,0,unmatched
12971,0,35.53,0,unmatched
9870,0,35.53,0,unmatched
36438,0,300.97,0,unmatched
16312,0,44.03,0,unmatched
25258,0,94.23,0,unmatched
58450,0,35.53,0,unmatched
13080,0,71.07,0,unmatched
26978,0,71.07,0,unmatched
9070,0,300.97,0,unmatched
74312,0,128.75,0,unmatched
57865,0,373.08,0,unmatched
85093,0,168.37,0,unmatched
9560,0,35.53,0,unmatched
7061,0,199.26,0,unmatched
12850,0,35.53,0,unmatched
13202,0,142.13,0,unmatched
12351,0,126.69,0,unmatched
