OAK ID,Region,Total Amount Received,Amount (Instalment)
51728,USA,387.76,110.67
46325,USA,522.5899999999999,124.5
56414,USA,2578.37,1739.84
25394,USA,538.19,124.37
41831,USA,404.03,-93.28
36365,USA,782.34,248.73
37983,USA,850.49,84.56
71138,USA,443.09,166.0
46928,USA,830.0699999999999,87.13
49471,USA,628.55,110.67
21693,USA,902.13,248.73
38524,USA,1790.5900000000001,1167.44
57483,USA,1666.37,918.59
22801,USA,518.6600000000001,147.19
51113,USA,996.2932,110.67
38524,USA,809.7,186.55
16824,USA,627.44,156.75
40032,USA,959.9,336.75
47614,USA,610.9100000000001,84.56
82071,USA,1030.6799999999998,282.9
23146,USA,476.0,62.18
44887,USA,1617.6999999999998,869.92
68301,USA,636.12,153.33
44817,USA,934.3299999999999,186.55
58012,USA,1268.01,869.92
22893,USA,872.0,124.22
55630,USA,640.21,98.13
20292,USA,1109.75,695.93
28742,USA,984.4200000000001,356.43
27418,USA,3409.26,2690.52
23223,USA,2167.5992,1739.84
34458,USA,851.5216,169.13
43551,USA,955.77,124.5
41911,USA,706.48,188.6
75291,USA,2501.69,1670.42
37732,USA,1245.8400000000001,622.69
57865,USA,723.32,124.37
36512,USA,2006.83,1383.68
11840,USA,729.27,424.35
57865,USA,474.58000000000004,-124.37
57865,USA,972.03,373.08
41831,USA,621.6800000000001,124.37
16179,USA,720.1600000000001,186.55
12757,USA,644.28,110.67
31325,USA,472.92,50.63
82071,USA,1030.6799999999998,282.9
23149,USA,515.74,166.05
35308,USA,777.77,124.37
43982,USA,2487.62,1739.84
59165,USA,548.31,150.22
