OAK ID,Region,Total Amount Received,Amount (Instalment)
51728,USA,339.67,110.67
46325,USA,453.5,124.5
56414,USA,2432.84,1739.84
25394,USA,466.37,124.37
41831,USA,317.72,-93.28
36365,USA,689.73,248.73
37983,USA,717.56,84.56
71138,USA,395.0,166.0
46928,USA,701.13,87.13
49471,USA,538.67,110.67
21693,USA,788.73,248.73
38524,USA,1682.44,1167.44
57483,USA,1536.5900000000001,918.59
22801,USA,454.19,147.19
51113,USA,842.5899999999999,110.67
38524,USA,701.55,186.55
16824,USA,545.75,156.75
40032,USA,851.75,336.75
47614,USA,519.56,84.56
82071,USA,900.9,282.9
23146,USA,404.18,62.18
44887,USA,1487.92,869.92
68301,USA,552.33,153.33
44817,USA,804.55,186.55
58012,USA,1198.92,869.92
22893,USA,742.22,124.22
55630,USA,546.13,98.13
20292,USA,1037.9299999999998,695.93
28742,USA,875.4300000000001,356.43
27418,USA,3284.52,2690.52
23223,USA,2093.3599999999997,1739.84
34458,USA,733.09,169.13
43551,USA,811.5,124.5
41911,USA,616.6,188.6
75291,USA,2357.42,1670.42
37732,USA,1137.69,622.69
57865,USA,619.37,124.37
36512,USA,1898.68,1383.68
11840,USA,676.35,424.35
57865,USA,370.63,-124.37
57865,USA,868.0799999999999,373.08
41831,USA,535.37,124.37
16179,USA,627.55,186.55
12757,USA,551.67,110.67
31325,USA,399.63,50.63
82071,USA,900.9,282.9
23149,USA,455.05,166.05
35308,USA,664.37,124.37
43982,USA,2357.84,1739.84
59165,USA,479.22,150.22
