0,Type,ID,Created,Description,Amount,Currency,Converted Amount,Fees,Net,Converted Currency,Details,Customer ID,Customer Email,Customer Name,purpose (metadata),phorest_client_id (metadata)
57766,Charge,ch_3S90HgLrnBTnlT7b1JfFvZzJ,19/09/2025 09:07,57766:Skin By Sarah Hudson,417.1,aud,417.1,0,417.1,aud,57766_for_stripe,cus_Rd6USPbz1WH15R,,,addnewcard,57766
57769,Charge,ch_3S90HiLrnBTnlT7b1sbLbcQZ,19/09/2025 09:07,57769:Modern Skin & Beauty,190.52,aud,190.52,0,190.52,aud,57769_for_stripe,cus_PgEVGQF9lFsscq,,,addnewcard,57769
61865,Charge,ch_3S90HuLrnBTnlT7b1lOIAlrI,19/09/2025 09:07,61865:Colada & Co.,448.8,aud,448.8,0,448.8,aud,61865_for_stripe,cus_Rqa60q9coDqMYR,,,addnewcard,61865
80563,Charge,ch_3S90IKLrnBTnlT7b1XsvpAg6,19/09/2025 09:07,80563:Brazilian Butterfly - Rowville,372.27,aud,372.27,0,372.27,aud,80563_for_stripe,cus_S1X4uetDp77E9S,,,addnewcard,80563
80564,Charge,ch_3S90IMLrnBTnlT7b12adcyDl,19/09/2025 09:07,80564:Brazilian Butterfly - Werribee,354.33,aud,354.33,0,354.33,aud,80564_for_stripe,cus_S1X5ZX6O3CtXjd,,,addnewcard,80564
90016,Charge,ch_3S90IfLrnBTnlT7b0LMsfnkH,19/09/2025 09:08,90016:Rival Hairdressing Studio,537.76,aud,537.76,0,537.76,aud,90016_for_stripe,cus_Sh52cMCKzY7XV6,,,addnewcard,90016
86586,Charge,ch_3S9dtvLrnBTnlT7b0vfgR5O1,21/09/2025 03:25,86586:Hayley Jayne Hair at Bowden,205.61,aud,205.61,0,205.61,aud,86586_for_stripe,cus_T5pZBB1u0oAfQj,,,addnewcard,86586
90980,Charge,ch_3S9dxjLrnBTnlT7b1Ywkk0Qb,21/09/2025 03:29,90980:Aesthetic Beauty Spot,433.17,aud,433.17,0,433.17,aud,90980_for_stripe,cus_T5pcJqdsl2Ah0r,,,addnewcard,90980
90470,Charge,ch_3S9fBiLrnBTnlT7b1cSwsRX2,21/09/2025 04:47,90470:Cursed Canvas,297.32,aud,297.32,0,297.32,aud,,,,,,
31174,Charge,ch_3S9foFLrnBTnlT7b0UMOQy4M,21/09/2025 05:27,31174:Super natural hair and body clinic,467.02,aud,467.02,0,467.02,aud,31174_for_stripe,cus_T5rXsr0Moj8SDA,,,addnewcard,31174
61044,Charge,ch_3S9gIWLrnBTnlT7b02spAJFH,21/09/2025 05:58,61044:Britt Parker Hair Stylist & Evolve Hair Extensions,310.79,aud,310.79,0,310.79,aud,61044_for_stripe,cus_T5s2zWyJ9KRDu8,,,addnewcard,61044
39997,Charge,ch_3S9l9OLrnBTnlT7b0UJTJhZ7,21/09/2025 11:09,39997:Tranquil Essence Brisbane,317.9,aud,317.9,0,317.9,aud,39997_for_stripe,cus_T5x3EGS4ZwOO01,,,addnewcard,39997
40499,Charge,ch_3S9v1ELrnBTnlT7b1zUsX1C5,21/09/2025 21:42,40499:Inigo Cosmetic,421.69,aud,421.69,0,421.69,aud,40499_for_stripe,cus_T67FdZcRAXSv2J,,,addnewcard,40499
60103,Charge,ch_3S9vpRLrnBTnlT7b1pHWKVoa,21/09/2025 22:33,60103:Mane Concept,578.38,aud,578.38,0,578.38,aud,60103_for_stripe,cus_T685g12FYTJQ5Z,,,addnewcard,60103
38459,Charge,ch_3S9wN7LrnBTnlT7b0DpsSle0,21/09/2025 23:08,38459:Australian Laser & Skin,449.76,aud,449.76,0,449.76,aud,38459_for_stripe,cus_T68emZNlCoeqpJ,,,addnewcard,38459
21557,Charge,ch_3S9xDsLrnBTnlT7b02kTkBjh,22/09/2025 00:03,21557:Skin Deep Beauty Therapy,375.64,aud,375.64,0,375.64,aud,21557_for_stripe,cus_T69WBYaXYvAZi2,,,addnewcard,21557
77467,Charge,ch_3S9xFMLrnBTnlT7b0uUx5o2r,22/09/2025 00:04,77467:House of Harlow Beauty Therapy,410.28,aud,410.28,0,410.28,aud,,,,,,
72167,Charge,ch_3S9y2wLrnBTnlT7b0s9afu8k,22/09/2025 00:56,72167:Le Salon,185.9,aud,185.9,0,185.9,aud,72167_for_stripe,cus_T6AN03wRSKghNp,,,addnewcard,72167
98653,Charge,ch_3S9zJ9LrnBTnlT7b1DcJsxgO,22/09/2025 02:16,98653:HAIR PHASE (JJPHAZE PTY LTD),382.25,aud,382.25,0,382.25,aud,98653_for_stripe,cus_T6BgOmOfOSwr43,,,addnewcard,98653
87337,Charge,ch_3S9zppLrnBTnlT7b06PAMh9e,22/09/2025 02:50,87337:LUX HAIR,482.31,aud,482.31,0,482.31,aud,87337_for_stripe,cus_T6CESStWmUv7UL,,,addnewcard,87337
32005,Charge,ch_3SA1VCLrnBTnlT7b0D0L60yw,22/09/2025 04:37,32005:Serene Hair & Body,442.71,aud,442.71,0,442.71,aud,,,,,,
58809,Charge,ch_3SA1YJLrnBTnlT7b1JcM8mxy,22/09/2025 04:40,58809:Saabi Collective,575.3,aud,575.3,0,575.3,aud,58809_for_stripe,cus_T6E0LNVjPJQcX6,,,addnewcard,58809
80461,Charge,ch_3SA32TLrnBTnlT7b1qA9KG0l,22/09/2025 06:15,80461:Curated Skin Aesthetics,674,aud,674,0,674,aud,,,,,,
39475,Charge,ch_3SA4GcLrnBTnlT7b1EFvpitO,22/09/2025 07:34,39475:Peachy Skin Clinic,502.19,aud,502.19,0,502.19,aud,39475_for_stripe,cus_T6GoMtbqa4xdjj,,,addnewcard,39475
26229,Charge,ch_3SA5JRLrnBTnlT7b0hV1VUL3,22/09/2025 08:41,CASHBOOK,324.5,aud,324.5,0,324.5,aud,26229_for_stripe,cus_Lx6Aj5YV3wqvwN,,,addnewcard,26229
80158,Charge,ch_3SA86kLrnBTnlT7b1agLCrR9,22/09/2025 11:40,80158:Halo Hair & Beauty Salon,336.6,aud,336.6,0,336.6,aud,80158_for_stripe,cus_T6KmlE4MirsIio,,,addnewcard,80158
79084,Charge,ch_3SAD3bLrnBTnlT7b1JiAmmH6,22/09/2025 16:57,79084:Zen Hair Skin & Body,465.3,aud,465.3,0,465.3,aud,79084_for_stripe,cus_T6PtvFu5yVRNYQ,,,addnewcard,79084
60709,Charge,ch_3SAD58LrnBTnlT7b0Rcvqayb,22/09/2025 16:59,60709:Saint + Bridge,465.3,aud,465.3,0,465.3,aud,60709_for_stripe,cus_T6PuCVqPeeAtzD,,,addnewcard,60709
61019,Charge,ch_3SAJqkLrnBTnlT7b043oJ1yl,23/09/2025 00:12,61019:Ardor Organics,573.82,aud,573.82,0,573.82,aud,61019_for_stripe,cus_T6WuY55lqjNRYi,,,addnewcard,61019
35501,Charge,ch_3SAKRzLrnBTnlT7b0ElxUJ0B,23/09/2025 00:51,35501:Seb Did This Hair,340.53,aud,340.53,0,340.53,aud,35501_for_stripe,cus_T6XXB9JYdR3SXS,,,addnewcard,35501
46211,Charge,ch_3SAKcBLrnBTnlT7b0EmcLIqR,23/09/2025 01:01,46211:Blush Boutique ACT Pty Ltd,600.24,aud,600.24,0,600.24,aud,46211_for_stripe,cus_T6XhsjoBk5DN94,,,addnewcard,46211
19065,Charge,ch_3SAKhBLrnBTnlT7b0H5aXVj8,23/09/2025 01:07,19065:Lucinda's Hair & Beauty,491.7,aud,491.7,0,491.7,aud,19065_for_stripe,cus_T6XmaaWqIf91jF,,,addnewcard,19065
33438,Charge,ch_3SALhSLrnBTnlT7b1kHkd2kv,23/09/2025 02:11,33438:Goldilocks Hair,281.38,aud,281.38,0,281.38,aud,33438_for_stripe,cus_T6Yp2LVwYKI8hE,,,addnewcard,33438
80773,Charge,ch_3SAMgtLrnBTnlT7b0proeSKP,23/09/2025 03:14,80773:Honey Honey Salon,372.99,aud,372.99,0,372.99,aud,80773_for_stripe,cus_T6Zq1HR1tvZ5a6,,,addnewcard,80773
82814,Charge,ch_3SAMlULrnBTnlT7b1s2iIGRN,23/09/2025 03:19,82814:Dermé Aesthetic Clinic,238.53,aud,238.53,0,238.53,aud,82814_for_stripe,cus_T6ZvKeqx7OYeDG,,,addnewcard,82814
68144,Charge,ch_3SAMttLrnBTnlT7b1zhLVFcB,23/09/2025 03:28,68144:Wink Newcastle,366.06,aud,366.06,0,366.06,aud,68144_for_stripe,cus_T6a4ScplVHZxDq,,,addnewcard,68144
79580,Charge,ch_3SAMzTLrnBTnlT7b1sfHPd8K,23/09/2025 03:34,79580:Bonnie Aesthetics,409.83,aud,409.83,0,409.83,aud,79580_for_stripe,cus_T6a9RxRTfYNnxJ,,,addnewcard,79580
90279,Charge,ch_3SANWdLrnBTnlT7b0s5FtjOQ,23/09/2025 04:08,90279:Macquarie Medi Spa,280.53,aud,280.53,0,280.53,aud,90279_for_stripe,cus_T6ain9ukfdbTs2,,,addnewcard,90279
80910,Charge,ch_3SASRBLrnBTnlT7b0HITVfxq,23/09/2025 09:23,80910:Eva Mercedes Studio,522.91,aud,522.91,0,522.91,aud,80910_for_stripe,cus_T6fmxczKtLtPuy,,,addnewcard,80910
26006,Charge,ch_3SAibjLrnBTnlT7b178OWA02,24/09/2025 02:39,26006:Ursk Medispa,255.82,aud,255.82,0,255.82,aud,26006_for_stripe,cus_T6wUSB3262OWKL,,,addnewcard,26006
73770,Charge,ch_3SAl5pLrnBTnlT7b0Ghp1yDV,24/09/2025 05:18,73770:Coast & Crown The Salon ,1389.67,aud,1389.67,0,1389.67,aud,73770_for_stripe,cus_T6z3WOz1u6v0yg,,,addnewcard,73770
37818,Charge,ch_3SAqe8LrnBTnlT7b1DJ29kRU,24/09/2025 11:14,37818:Amoura Hair,243.8,aud,243.8,0,243.8,aud,37818_for_stripe,cus_T74n4DoNTO6hIE,,,addnewcard,37818
31831,Charge,ch_3SB3oqLrnBTnlT7b0q4iS85T,25/09/2025 01:18,31831:Nuovo Skin and Health,889.85,aud,889.85,0,889.85,aud,31831_for_stripe,cus_T7IPExPxNZO6J1,,,addnewcard,31831
58623,Charge,ch_3SB3rdLrnBTnlT7b1IiYdk62,25/09/2025 01:20,58623:Indie Sky + Co,551.53,aud,551.53,0,551.53,aud,58623_for_stripe,cus_T7IS0seEc48pcr,,,addnewcard,58623
29217,Charge,ch_3SB6iRLrnBTnlT7b0MDBuIr0,25/09/2025 04:23,29217:Maurice Meade Subiaco,15606.73,aud,15606.73,0,15606.73,aud,,,,,,
30513,Charge,ch_3SB6jILrnBTnlT7b0z0yIvJU,25/09/2025 04:24,30513:Me by Maurice Meade Morley,412.96,aud,412.96,0,412.96,aud,,,,,,
64351,Charge,ch_3SB6jZLrnBTnlT7b1W88J8jc,25/09/2025 04:24,64351:Maurice Meade Carousel,417.56,aud,417.56,0,417.56,aud,,,,,,
32202,Charge,ch_3SB6joLrnBTnlT7b1PVCTuBq,25/09/2025 04:25,32202:Maurice Meade Academy,82.5,aud,82.5,0,82.5,aud,,,,,,
85541,Charge,ch_3SBAMSLrnBTnlT7b18dTTVas,25/09/2025 08:17,85541:Body Cosmetics,459.8,aud,459.8,0,459.8,aud,85541_for_stripe,cus_T7PAJMrPmnafBz,,,addnewcard,85541
18835,Charge,ch_3SBB2WLrnBTnlT7b1FeXmZbG,25/09/2025 09:00,18835:Haus Of Aveda Paddington,519.3,aud,519.3,0,519.3,aud,18835_for_stripe,cus_T7PszLrzNJFooe,,,addnewcard,18835
67029,Charge,ch_3SBBaqLrnBTnlT7b0iFJSBzv,25/09/2025 09:36,67029:Studio Tuesday,393.84,aud,393.84,0,393.84,aud,67029_for_stripe,cus_T7QRJHTgxecn9q,,,addnewcard,67029
72656,Charge,ch_3SBGUILrnBTnlT7b0ldZlN0Y,25/09/2025 14:49,72656:Doll Empire Clinic,492.8,aud,492.8,0,492.8,aud,72656_for_stripe,cus_T7VV2aKJIUqKoY,,,addnewcard,72656
86606,Charge,ch_3SBHHBLrnBTnlT7b1QaPrOsV,25/09/2025 15:40,86606:Tommaso Hair,232.43,aud,232.43,0,232.43,aud,86606_for_stripe,cus_T7WJ012MaLXyfe,,,addnewcard,86606
48909,Charge,ch_3SBQjaLrnBTnlT7b1byUb5RP,26/09/2025 01:46,48909:Ardour Brows & Lashes,334.08,aud,334.08,0,334.08,aud,48909_for_stripe,cus_T7g5maaJsXVEFT,,,addnewcard,48909
22095,Charge,ch_3SBQk1LrnBTnlT7b1D3GJpae,26/09/2025 01:46,22095:Ardour - Brighton,350.44,aud,350.44,0,350.44,aud,22095_for_stripe,cus_T7g6jpV4ShliId,,,addnewcard,22095
22073,Charge,ch_3SBQkKLrnBTnlT7b0RQFVHQE,26/09/2025 01:46,22073:Ardour - South Yarra,338.76,aud,338.76,0,338.76,aud,22073_for_stripe,cus_T7g6n1Lm0vJ9Oy,,,addnewcard,22073
51835,Charge,ch_3SBTSbLrnBTnlT7b0bZfd2Jg,26/09/2025 04:40,51835:Urban Skin Clinic,428.51,aud,428.51,0,428.51,aud,51835_for_stripe,cus_T7iu0wAmFwGRg5,,,addnewcard,51835
33768,Charge,ch_3SBbPALrnBTnlT7b1PfPRTIj,26/09/2025 13:09,33768:Laneway Hair,97.9,aud,97.9,0,97.9,aud,33768_for_stripe,cus_T7r7hAHGoL4CdZ,,,addnewcard,33768
99216,Charge,ch_3SCVqsLrnBTnlT7b02cuAIxe,29/09/2025 01:26,99216:Jessica Bollington,382.25,aud,382.25,0,382.25,aud,99216_for_stripe,cus_T8nRF2xhb7eIqc,,,addnewcard,99216
99354,Charge,ch_3SCtmMLrnBTnlT7b0jYUdlZ5,30/09/2025 02:59,99354:Launceston College,217.25,aud,217.25,0,217.25,aud,99354_for_stripe,cus_T9CAk8SPRfb1mY,,,addnewcard,99354
51268,Charge,ch_3SD3DxLrnBTnlT7b0P6aBiFJ,30/09/2025 13:04,51268:SHE Skin Health Energy Clinic,1147.23,aud,1147.23,0,1147.23,aud,51268_for_stripe,cus_T9LvEfXQ69ORxU,,,addnewcard,51268
99538,Charge,ch_3SDE9mLrnBTnlT7b0FiWV6hG,01/10/2025 00:44,99538:Organic Beauty by Kessie,382.25,aud,382.25,0,382.25,aud,99538_for_stripe,cus_T9XEjrSKPEaIGD,,,addnewcard,99538
99543,Charge,ch_3SDG8ALrnBTnlT7b08VGLz1U,01/10/2025 02:51,99543:Me by Maurice Meade Joondalup,382.25,aud,382.25,0,382.25,aud,99543_for_stripe,cus_T9ZGWpcdO6ccfO,,,addnewcard,99543
99562,Charge,ch_3SDKETLrnBTnlT7b0xSTBEi7,01/10/2025 07:13,99562:Sube Hair,382.25,aud,382.25,0,382.25,aud,99562_for_stripe,cus_T9dVIQV59UxAm8,,,addnewcard,99562
100046,Charge,ch_3SE6WkLrnBTnlT7b081OyMfr,03/10/2025 10:47,100046:Ora Skin + Beauty,382.25,aud,382.25,0,382.25,aud,100046_for_stripe,cus_TARPcTozSffbSj,,,addnewcard,100046
100261,Charge,ch_3SF4qBLrnBTnlT7b0J1lQp5J,06/10/2025 03:11,100261:Glow by Airlie&Co (At House of Airlie),382.25,aud,382.25,0,382.25,aud,100261_for_stripe,cus_TBRjWw7JFHQDxX,,,addnewcard,100261
92706,Charge,ch_3SFQJpLrnBTnlT7b0pC6XWzW,07/10/2025 02:08,CASHBOOK,54.45,aud,54.45,0,54.45,aud,92706_for_stripe,cus_SqnD16ajkaJcCY,,,addnewcard,92706
