OAK ID,Region,Total Amount Received,Amount (Instalment)
62493,IRELAND, 202.19 , 44.33 
31235,IRELAND, 458.17 , 193.78 
2058,IRELAND, 376.67 , 168.92 
9187,IRELAND, 464.42 , 96.89 
56267,IRELAND, 261.18 , 48.52 
43083,IRELAND, 275.12 , 44.33 
39604,IRELAND, 158.28 , 48.48 
14372,DACH, 539.14 , 84.46 
37921,UK, 250.07 , 71.07 
8214,IRELAND, 265.69 , 96.89 
10902,UK, 178.24 , 39.24 
73014,IRELAND, 208.73 , 48.52 
17343,UK, 415.91 , 142.13 
80801,UK, 292.93 , 133.76 
51792,UK, 199.22 , 39.24 
55629,UK, 445.71 , 117.71 
56424,UK, 308.24 , 71.07 
21813,UK, 295.55 , 106.60 
9931,UK, 303.19 , 132.38 
29321,UK, 480.34 , 211.88 
12965,UK, 284.53 , 35.53 
51728,USA, 339.67 , 110.67 
46325,USA, 453.50 , 124.50 
56414,USA," 2,432.84 "," 1,739.84 "
25394,USA, 466.37 , 124.37 
41831,USA, 317.72 , (93.28)
36365,USA, 689.73 , 248.73 
37983,USA, 717.56 , 84.56 
71138,USA, 395.00 , 166.00 
46928,USA, 701.13 , 87.13 
49471,USA, 538.67 , 110.67 
21693,USA, 788.73 , 248.73 
38524,USA," 1,682.44 "," 1,167.44 "
57483,USA," 1,536.59 ", 918.59 
22801,USA, 454.19 , 147.19 
33157,IRELAND, 415.66 , 109.06 
19744,IRELAND, 203.26 , 84.46 
43083,IRELAND, 275.12 , 44.33 
57202,IRELAND, 156.34 , 42.23 
56268,IRELAND, 375.75 , 194.07 
40316,DACH, 224.11 , (42.23)
14178,FINLAND, 323.46 , 84.46 
73018,IRELAND, 321.30 , 109.00 
48270,IRELAND, 385.38 , 142.54 
20222,IRELAND, 102.43 , 44.33 
11119,UK, 175.60 , 106.60 
10824,IRELAND, 657.56 , 109.06 
32465,UK, 327.44 , 78.44 
48270,IRELAND, 100.30 , (142.54)
68152,UK, 178.30 , 35.53 
33170,DACH, 432.36 , 168.92 
58761,UK, 212.58 , (71.07)
46386,UK, 508.73 , 142.13 
26095,UK, 243.23 , 94.23 
10331,UK, 289.07 , 71.07 
9578,UK, 426.53 , 267.53 
39708,UK, 391.60 , 94.23 
11693,UK, 514.53 , 267.53 
10015,UK, 406.75 , 71.07 
8959,UK, 251.20 , 35.53 
60730,UK, 260.49 , 80.00 
9012,UK, 368.58 , 117.71 
49341,UK, 310.14 , 78.44 
46921,UK, 349.78 , 133.76 
9944,UK, 251.91 , 71.07 
26490,UK, 194.53 , 35.53 
51113,USA, 842.59 , 110.67 
33243,UK, 343.09 , 71.07 
38524,USA, 701.55 , 186.55 
16824,USA, 545.75 , 156.75 
40032,USA, 851.75 , 336.75 
47614,USA, 519.56 , 84.56 
82071,USA, 900.90 , 282.90 
23146,USA, 404.18 , 62.18 
61787,IRELAND, 265.05 , 166.05 
44887,USA," 1,487.92 ", 869.92 
30615,FINLAND, 183.65 , (55.35)
68301,USA, 552.33 , 153.33 
5821,IRELAND, 335.72 , 54.53 
44817,USA, 804.55 , 186.55 
4306,IRELAND, 302.84 , 42.23 
58012,USA," 1,198.92 ", 869.92 
8394,UK, 291.00 , 88.25 
22893,USA, 742.22 , 124.22 
46748,UK, 284.67 , 142.13 
55630,USA, 546.13 , 98.13 
58761,UK, 177.03 , (106.62)
81481,CANADA, 696.96 , 368.96 
14960,UK, 197.44 , 78.44 
31235,IRELAND, 119.05 , (145.34)
60864,UK, 229.50 , 78.44 
14934,IRELAND, 378.99 , 96.89 
49333,UK, 355.60 , 106.60 
9614,UK, 271.13 , 142.13 
57754,UK, 331.42 , 88.25 
10109,UK, 202.76 , 133.76 
25171,UK, 228.20 , 38.22 
47816,UK, 356.85 , 133.76 
19289,UK, 352.97 , 71.07 
11617,UK, 224.53 , 35.53 
58785,UK, 176.99 , 35.53 
9325,UK, 382.11 , 71.07 
41763,UK, 241.52 , 39.22 
20292,USA," 1,037.93 ", 695.93 
34290,UK, 174.69 , 35.53 
28742,USA, 875.43 , 356.43 
27418,USA," 3,284.52 "," 2,690.52 "
61787,IRELAND, (67.05), (166.05)
23223,USA," 2,093.36 "," 1,739.84 "
40316,DACH, 350.80 , 84.46 
34458,USA, 733.09 , 169.13 
56268,IRELAND, 84.65 , (97.03)
43551,USA, 811.50 , 124.50 
31644,DACH, 227.44 , 54.53 
41911,USA, 616.60 , 188.60 
18421,UK, 425.11 , 71.07 
7941,IRELAND, 535.51 , 166.05 
74178,UK, 225.44 , 88.25 
30615,FINLAND, 457.12 , 218.12 
12971,UK, 200.93 , 35.53 
30615,FINLAND, 157.20 , (81.80)
58761,UK, 354.72 , 71.07 
9870,UK, 212.48 , 35.53 
55629,UK, 492.07 , 164.07 
36438,UK, 493.10 , 300.97 
16312,UK, 244.34 , 44.03 
25258,UK, 298.59 , 94.23 
58450,UK, 223.53 , 35.53 
13080,UK, 213.52 , 71.07 
26978,UK, 376.15 , 71.07 
10015,UK, 264.61 , (71.07)
75291,USA," 2,357.42 "," 1,670.42 "
9070,UK, 504.23 , 300.97 
37732,USA," 1,137.69 ", 622.69 
74312,UK, 297.19 , 128.75 
57865,USA, 619.37 , 124.37 
85093,UK, 237.37 , 168.37 
36512,USA," 1,898.68 "," 1,383.68 "
9560,UK, 217.56 , 35.53 
7061,IRELAND, 459.83 , 199.26 
12850,UK, 198.40 , 35.53 
13202,UK, 301.13 , 142.13 
11840,USA, 676.35 , 424.35 
57865,USA, 370.63 , (124.37)
57865,USA, 868.08 , 373.08 
41831,USA, 535.37 , 124.37 
16179,USA, 627.55 , 186.55 
12757,USA, 551.67 , 110.67 
31325,USA, 399.63 , 50.63 
82071,USA, 900.90 , 282.90 
23149,USA, 455.05 , 166.05 
35308,USA, 664.37 , 124.37 
43982,USA," 2,357.84 "," 1,739.84 "
59165,USA, 479.22 , 150.22 
12351,IRELAND, 275.49 , 126.69 
